Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2013,2013,USD,355.5,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2014,2014,USD,334.4,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2015,2015,USD,257.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2000,2000,LCU,318000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2001,2001,LCU,301000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2002,2002,LCU,323000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2003,2003,LCU,333000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2004,2004,LCU,337000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2005,2005,LCU,333942.3,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2006,2006,LCU,386000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2007,2007,LCU,351000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2008,2008,LCU,578000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2009,2009,LCU,615000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2010,2010,LCU,726000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2011,2011,LCU,748411.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2012,2012,LCU,883143.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2013,2013,LCU,981245.5,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2014,2014,LCU,953903.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),79,Millet,2015,2015,LCU,885469.4,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2000,2000,USD,397.3,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2001,2001,USD,343.4,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2002,2002,USD,334.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2003,2003,USD,320.7,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2004,2004,USD,309.4,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2005,2005,USD,295.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2006,2006,USD,308.3,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2007,2007,USD,281.9,,Official data
